@relation R_data_frame

@attribute X_1 numeric
@attribute X_2 numeric
@attribute X_3 numeric
@attribute Y_1 numeric
@attribute Y_2 numeric
@attribute Y_3 numeric
@attribute Y_4 numeric

@data
0,0,1,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,0,1,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,0,0,1
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,0,0,1
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,0,0,1
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,0,0,1
0,0,1,0,0,0,1
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,0,1,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,0,0,1
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,0,1,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,0,0,1
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,0,1
0,1,0,0,0,0,1
0,0,1,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,0,0,1
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,0,1
0,0,1,0,1,0,0
1,0,0,0,0,0,1
0,1,0,0,0,0,1
0,1,0,0,1,0,0
1,0,0,0,0,0,1
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,0,0,1
0,0,1,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,0,1
1,0,0,0,0,0,1
0,1,0,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,0,1,0,0,0,1
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
0,0,1,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,0,1
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,0,1
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,0,1
0,0,1,0,0,1,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,0,1
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,0,0,1
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,0,1,0
0,0,1,0,0,1,0
0,0,1,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,0,1
0,0,1,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,0,0,1
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,0,1
1,0,0,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,0,0,1
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,0,1,0
0,0,1,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,0,1
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,0,1
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,0,1,0,0,1,0
0,0,1,0,0,0,1
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,0,0,1
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,0,1,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,0,1,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,0,1
0,0,1,0,1,0,0
0,0,1,0,0,0,1
0,0,1,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,1,0,0
0,0,1,0,0,0,1
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,0,1,0,0,1,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,0,1
0,0,1,0,1,0,0
1,0,0,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,0,1,0
0,0,1,0,1,0,0
0,0,1,0,0,1,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,0,1
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,0,0,1
0,0,1,0,0,1,0
0,1,0,0,0,0,1
0,0,1,0,1,0,0
0,1,0,0,0,0,1
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,0,1
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,0,0,1
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,0,1
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,0,1,0,0,0,1
0,1,0,0,0,1,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,0,0,1
0,1,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,0,1
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,0,0,1
0,1,0,0,0,1,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,0,1
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,0,1,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,0,0,1
1,0,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,0,0,1
0,0,1,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,0,0,1
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,0,1,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,0,1
0,1,0,0,0,1,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,0,0,1
0,0,1,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,0,0,1
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,0,0,1
0,0,1,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,0,0,1
1,0,0,0,1,0,0
1,0,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,0,0,1
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,0,1,0,0,0,1
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,0,1
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,0,1
0,0,1,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,0,1
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
